race_url,driver,fastest_lap
https://www.formula1.com/en/results/1958/races/168/morocco/race-result,Stirling Moss,1
https://www.formula1.com/en/results/1959/races/169/monaco/race-result,Jack Brabham,1
https://www.formula1.com/en/results/1959/races/170/indianapolis/race-result,Johnny Thomson,1
https://www.formula1.com/en/results/1959/races/171/netherlands/race-result,Stirling Moss,1
https://www.formula1.com/en/results/1959/races/172/france/race-result,Stirling Moss,1
https://www.formula1.com/en/results/1959/races/173/great-britain/race-result,Stirling Moss,1
https://www.formula1.com/en/results/1959/races/174/germany/race-result,Tony Brooks,1
https://www.formula1.com/en/results/1959/races/175/portugal/race-result,Stirling Moss,1
https://www.formula1.com/en/results/1959/races/176/italy/race-result,Phil Hill,1
https://www.formula1.com/en/results/1959/races/177/united-states/race-result,Maurice  Trintignant,1
https://www.formula1.com/en/results/1960/races/178/argentina/race-result,Stirling Moss,1
https://www.formula1.com/en/results/1960/races/179/monaco/race-result,Bruce McLaren,1
https://www.formula1.com/en/results/1960/races/180/indianapolis/race-result,Jim Rathmann,1
https://www.formula1.com/en/results/1960/races/181/netherlands/race-result,Stirling Moss,1
https://www.formula1.com/en/results/1960/races/182/belgium/race-result,Phil Hill,1
https://www.formula1.com/en/results/1960/races/183/france/race-result,Jack Brabham,1
https://www.formula1.com/en/results/1960/races/184/great-britain/race-result,Graham Hill,1
https://www.formula1.com/en/results/1960/races/185/portugal/race-result,John Surtees,1
https://www.formula1.com/en/results/1960/races/186/italy/race-result,Phil Hill,1
https://www.formula1.com/en/results/1960/races/187/united-states/race-result,Jack Brabham,1
https://www.formula1.com/en/results/1961/races/188/monaco/race-result,Richie Ginther,1
https://www.formula1.com/en/results/1961/races/189/netherlands/race-result,Jim Clark,1
https://www.formula1.com/en/results/1961/races/190/belgium/race-result,Richie Ginther,1
https://www.formula1.com/en/results/1961/races/191/france/race-result,Phil Hill,1
https://www.formula1.com/en/results/1961/races/192/great-britain/race-result,Tony Brooks,1
https://www.formula1.com/en/results/1961/races/193/germany/race-result,Phil Hill,1
https://www.formula1.com/en/results/1961/races/194/italy/race-result,Giancarlo Baghetti,1
https://www.formula1.com/en/results/1961/races/195/united-states/race-result,Jack Brabham,1
https://www.formula1.com/en/results/1962/races/196/netherlands/race-result,Bruce McLaren,1
https://www.formula1.com/en/results/1962/races/197/monaco/race-result,Jim Clark,1
https://www.formula1.com/en/results/1962/races/198/belgium/race-result,Jim Clark,1
https://www.formula1.com/en/results/1962/races/199/france/race-result,Graham Hill,1
https://www.formula1.com/en/results/1962/races/200/great-britain/race-result,Jim Clark,1
https://www.formula1.com/en/results/1962/races/201/germany/race-result,Graham Hill,1
https://www.formula1.com/en/results/1962/races/202/italy/race-result,Graham Hill,1
https://www.formula1.com/en/results/1962/races/203/united-states/race-result,Jim Clark,1
https://www.formula1.com/en/results/1962/races/204/south-africa/race-result,Jim Clark,1
https://www.formula1.com/en/results/1963/races/205/monaco/race-result,John Surtees,1
https://www.formula1.com/en/results/1963/races/206/belgium/race-result,Jim Clark,1
https://www.formula1.com/en/results/1963/races/207/netherlands/race-result,Jim Clark,1
https://www.formula1.com/en/results/1963/races/208/france/race-result,Jim Clark,1
https://www.formula1.com/en/results/1963/races/209/great-britain/race-result,John Surtees,1
https://www.formula1.com/en/results/1963/races/210/germany/race-result,John Surtees,1
https://www.formula1.com/en/results/1963/races/211/italy/race-result,Jim Clark,1
https://www.formula1.com/en/results/1963/races/212/united-states/race-result,Jim Clark,1
https://www.formula1.com/en/results/1963/races/213/mexico/race-result,Jim Clark,1
https://www.formula1.com/en/results/1963/races/214/south-africa/race-result,Dan Gurney,1
https://www.formula1.com/en/results/1964/races/215/monaco/race-result,Graham Hill,1
https://www.formula1.com/en/results/1964/races/216/netherlands/race-result,Jim Clark,1
https://www.formula1.com/en/results/1964/races/217/belgium/race-result,Dan Gurney,1
https://www.formula1.com/en/results/1964/races/218/france/race-result,Jack Brabham,1
https://www.formula1.com/en/results/1964/races/219/great-britain/race-result,Jim Clark,1
https://www.formula1.com/en/results/1964/races/220/germany/race-result,John Surtees,1
https://www.formula1.com/en/results/1964/races/221/austria/race-result,Dan Gurney,1
https://www.formula1.com/en/results/1964/races/222/italy/race-result,John Surtees,1
https://www.formula1.com/en/results/1964/races/223/united-states/race-result,Jim Clark,1
https://www.formula1.com/en/results/1964/races/224/mexico/race-result,Jim Clark,1
https://www.formula1.com/en/results/1965/races/225/south-africa/race-result,Jim Clark,1
https://www.formula1.com/en/results/1965/races/226/monaco/race-result,Graham Hill,1
https://www.formula1.com/en/results/1965/races/227/belgium/race-result,Jim Clark,1
https://www.formula1.com/en/results/1965/races/228/france/race-result,Jim Clark,1
https://www.formula1.com/en/results/1965/races/229/great-britain/race-result,Graham Hill,1
https://www.formula1.com/en/results/1965/races/230/netherlands/race-result,Jim Clark,1
https://www.formula1.com/en/results/1965/races/231/germany/race-result,Jim Clark,1
https://www.formula1.com/en/results/1965/races/232/italy/race-result,Jim Clark,1
https://www.formula1.com/en/results/1965/races/233/united-states/race-result,Graham Hill,1
https://www.formula1.com/en/results/1965/races/234/mexico/race-result,Dan Gurney,1
https://www.formula1.com/en/results/1966/races/235/monaco/race-result,Lorenzo Bandini,1
https://www.formula1.com/en/results/1966/races/236/belgium/race-result,John Surtees,1
https://www.formula1.com/en/results/1966/races/237/france/race-result,Lorenzo Bandini,1
https://www.formula1.com/en/results/1966/races/238/great-britain/race-result,Jack Brabham,1
https://www.formula1.com/en/results/1966/races/239/netherlands/race-result,Denny Hulme,1
https://www.formula1.com/en/results/1966/races/240/germany/race-result,John Surtees,1
https://www.formula1.com/en/results/1966/races/241/italy/race-result,Ludovico Scarfiotti,1
https://www.formula1.com/en/results/1966/races/242/united-states/race-result,John Surtees,1
https://www.formula1.com/en/results/1966/races/243/mexico/race-result,Richie Ginther,1
https://www.formula1.com/en/results/1967/races/244/south-africa/race-result,Denny Hulme,1
https://www.formula1.com/en/results/1967/races/245/monaco/race-result,Jim Clark,1
https://www.formula1.com/en/results/1967/races/246/netherlands/race-result,Jim Clark,1
https://www.formula1.com/en/results/1967/races/247/belgium/race-result,Dan Gurney,1
https://www.formula1.com/en/results/1967/races/248/france/race-result,Graham Hill,1
https://www.formula1.com/en/results/1967/races/249/great-britain/race-result,Denny Hulme,1
https://www.formula1.com/en/results/1967/races/250/germany/race-result,Dan Gurney,1
https://www.formula1.com/en/results/1967/races/251/canada/race-result,Jim Clark,1
https://www.formula1.com/en/results/1967/races/252/italy/race-result,Jim Clark,1
https://www.formula1.com/en/results/1967/races/253/united-states/race-result,Graham Hill,1
https://www.formula1.com/en/results/1967/races/254/mexico/race-result,Jim Clark,1
https://www.formula1.com/en/results/1968/races/255/south-africa/race-result,Jim Clark,1
https://www.formula1.com/en/results/1968/races/256/spain/race-result,Jean-Pierre Beltoise,1
https://www.formula1.com/en/results/1968/races/257/monaco/race-result,Richard Attwood,1
https://www.formula1.com/en/results/1968/races/258/belgium/race-result,John Surtees,1
https://www.formula1.com/en/results/1968/races/259/netherlands/race-result,Jean-Pierre Beltoise,1
https://www.formula1.com/en/results/1968/races/260/france/race-result,Pedro Rodriguez,1
https://www.formula1.com/en/results/1968/races/261/great-britain/race-result,Jo Siffert,1
https://www.formula1.com/en/results/1968/races/262/germany/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1968/races/263/italy/race-result,Jackie Oliver,1
https://www.formula1.com/en/results/1968/races/264/canada/race-result,Jo Siffert,1
https://www.formula1.com/en/results/1968/races/265/united-states/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1968/races/266/mexico/race-result,Jo Siffert,1
https://www.formula1.com/en/results/1969/races/267/south-africa/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1969/races/268/spain/race-result,Jochen Rindt,1
https://www.formula1.com/en/results/1969/races/269/monaco/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1969/races/270/netherlands/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1969/races/271/france/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1969/races/272/great-britain/race-result,Jackie Stewart,1
https://www.formula1.com/en/results/1969/races/273/germany/race-result,Jacky Ickx,1
